DATE,NASDAQ:AAPL,NYSE:GS,NASDAQ:MSFT,NYSE:CAT,,,,,
1/2/2020,75.09,234.32,160.62,150.53,,,,,
1/3/2020,74.36,231.58,158.62,148.44,,,,,
1/6/2020,74.95,233.95,159.03,148.34,,,,,
1/7/2020,74.60,235.49,157.58,146.38,,,,,
1/8/2020,75.80,237.76,160.09,147.68,,,,,
1/9/2020,77.41,242.60,162.09,147.31,,,,,
1/10/2020,77.58,242.11,161.34,146.13,,,,,
1/13/2020,79.24,245.21,163.28,146.82,,,,,
1/14/2020,78.17,245.66,162.13,146.68,,,,,
1/15/2020,77.83,245.21,163.18,145.57,,,,,
1/16/2020,78.81,249.72,166.17,147.87,,,,,
1/17/2020,79.68,249.46,167.10,147.78,,,,,
1/21/2020,79.14,245.70,166.50,145.85,,,,,
1/22/2020,79.43,247.05,165.70,142.63,,,,,
1/23/2020,79.81,245.58,166.72,142.75,,,,,
1/24/2020,79.58,241.92,165.04,140.38,,,,,
1/27/2020,77.24,238.14,162.28,135.73,,,,,
1/28/2020,79.42,242.58,165.46,136.74,,,,,
1/29/2020,81.08,240.12,168.04,135.78,,,,,
1/30/2020,80.97,244.13,172.78,135.37,,,,,
1/31/2020,77.38,237.75,170.23,131.35,,,,,
2/3/2020,77.17,239.01,174.38,129.77,,,,,
2/4/2020,79.71,241.94,180.12,133.51,,,,,
2/5/2020,80.36,244.30,179.90,137.44,,,,,
2/6/2020,81.30,241.82,183.63,137.25,,,,,
2/7/2020,80.01,238.00,183.89,133.37,,,,,
2/10/2020,80.39,237.36,188.70,134.32,,,,,
2/11/2020,79.90,236.46,184.44,136.19,,,,,
2/12/2020,81.80,238.65,184.71,139.59,,,,,
2/13/2020,81.22,238.35,183.71,139.72,,,,,
2/14/2020,81.24,237.08,185.35,137.99,,,,,
2/18/2020,79.75,233.21,187.23,136.58,,,,,
2/19/2020,80.91,237.33,187.28,136.86,,,,,
2/20/2020,80.08,232.73,184.42,136.93,,,,,
2/21/2020,78.26,230.62,178.59,137.21,,,,,
2/24/2020,74.55,224.54,170.89,132.17,,,,,
2/25/2020,72.02,217.61,168.07,129.00,,,,,
2/26/2020,73.16,215.78,170.17,128.25,,,,,
2/27/2020,68.38,205.69,158.18,123.27,,,,,
2/28/2020,68.34,200.77,162.01,124.24,,,,,
3/2/2020,74.70,209.47,172.79,127.60,,,,,
3/3/2020,72.33,203.43,164.51,124.38,,,,,
3/4/2020,75.69,208.74,170.55,127.40,,,,,
3/5/2020,73.23,198.79,166.27,121.97,,,,,
3/6/2020,72.26,192.85,161.57,121.41,,,,,
3/9/2020,66.54,172.81,150.62,104.07,,,,,
3/10/2020,71.33,184.35,160.92,106.49,,,,,
3/11/2020,68.86,171.89,153.63,100.69,,,,,
3/12/2020,62.06,150.68,139.06,92.26,,,,,
3/13/2020,69.49,177.17,158.83,99.64,,#VALUE!,,,
3/16/2020,60.55,154.66,135.42,93.41,,,,,
3/17/2020,63.22,158.67,146.57,100.20,,,,,
3/18/2020,61.67,140.02,140.40,100.12,,,,,
3/19/2020,61.20,149.49,142.71,103.01,,,,,
3/20/2020,57.31,138.41,137.35,95.50,,,,,
3/23/2020,56.09,134.97,135.98,91.85,,,,,
3/24/2020,61.72,153.60,148.34,101.34,,,,,
3/25/2020,61.38,155.13,146.92,104.67,,,,,
3/26/2020,64.61,165.79,156.11,110.50,,,,,
3/27/2020,61.94,158.34,149.70,105.44,,,,,
3/30/2020,63.70,159.62,160.23,111.71,,,,,
3/31/2020,63.57,154.59,157.71,116.04,,,,,
4/1/2020,60.23,145.29,152.11,111.35,,,,,
4/2/2020,61.23,149.93,155.26,116.74,,,,,
4/3/2020,60.35,146.93,153.83,114.67,,,,,
4/6/2020,65.62,158.23,165.27,120.43,,,,,
4/7/2020,64.86,166.02,163.49,121.92,,,,,
4/8/2020,66.52,176.96,165.13,127.40,,,,,
4/9/2020,67.00,184.26,165.14,125.03,,,,,
4/13/2020,68.31,179.18,165.51,114.14,,,,,
4/14/2020,71.76,178.23,173.70,116.48,,,,,
4/15/2020,71.11,178.52,171.88,111.53,,,,,
4/16/2020,71.67,177.04,177.04,113.22,,,,,
4/17/2020,70.70,183.49,178.60,116.30,,,,,
4/20/2020,69.23,180.40,175.06,114.60,,,,,
4/21/2020,67.09,173.81,167.82,109.85,,,,,
4/22/2020,69.03,175.98,173.52,110.64,,,,,
4/23/2020,68.76,175.05,171.42,112.91,,,,,
4/24/2020,70.74,177.00,174.55,114.04,,,,,
4/27/2020,70.79,183.54,174.05,115.20,,,,,
4/28/2020,69.65,187.01,169.81,115.46,,,,,
4/29/2020,71.93,190.03,177.43,120.06,,,,,
4/30/2020,73.45,183.42,179.21,116.38,,,,,
5/1/2020,72.27,177.10,174.57,110.88,,,,,
5/4/2020,73.29,176.03,178.84,107.72,,,,,
5/5/2020,74.39,178.30,180.76,108.91,,,,,
5/6/2020,75.16,176.92,182.54,107.67,,,,,
5/7/2020,75.94,182.32,183.60,107.29,,,,,
5/8/2020,77.53,185.39,184.68,112.11,,,,,
5/11/2020,78.75,183.16,186.74,108.61,,,,,
5/12/2020,77.85,177.21,182.51,105.00,,,,,
5/13/2020,76.91,171.80,179.75,104.48,,,,,
5/14/2020,77.39,174.45,180.53,106.19,,,,,
5/15/2020,76.93,171.87,183.16,107.92,,,,,
5/18/2020,78.74,181.88,184.91,115.02,,,,,
5/19/2020,78.29,177.83,183.63,112.08,,,,,
5/20/2020,79.81,181.44,185.66,115.69,,,,,
5/21/2020,79.21,180.10,183.43,114.06,,,,,
5/22/2020,79.72,179.93,183.51,112.47,,,,,
5/26/2020,79.18,196.06,181.57,117.41,,,,,
5/27/2020,79.53,209.66,181.81,122.42,,,,,
5/28/2020,79.56,201.22,181.40,120.74,,,,,
5/29/2020,79.49,196.49,183.25,120.13,,,,,
6/1/2020,80.46,199.93,182.83,120.50,,,,,
6/2/2020,80.83,204.14,184.91,123.32,,,,,
6/3/2020,81.28,210.57,185.36,127.09,,,,,
6/4/2020,80.58,214.82,182.92,128.96,,,,,
6/5/2020,82.88,217.92,187.20,135.12,,,,,
6/8/2020,83.37,220.81,188.36,137.72,,,,,
6/9/2020,86.00,218.10,189.80,134.19,,,,,
6/10/2020,88.21,213.52,196.84,132.44,,,,,
6/11/2020,83.98,194.13,186.27,121.55,,,,,
6/12/2020,84.70,201.78,187.74,123.15,,,,,
6/15/2020,85.75,206.31,188.94,123.61,,,,,
6/16/2020,88.02,209.59,193.57,130.11,,,,,
6/17/2020,87.90,206.19,194.24,128.23,,,,,
6/18/2020,87.93,203.84,196.32,127.59,,,,,
6/19/2020,87.43,201.63,195.15,127.46,,,,,
6/22/2020,89.72,203.42,200.57,125.79,,,,,
6/23/2020,91.63,204.78,201.91,126.25,,,,,
6/24/2020,90.02,198.02,197.84,122.06,,,,,
6/25/2020,91.21,207.10,200.34,124.71,,,,,
6/26/2020,88.41,189.19,196.33,122.39,,,,,
6/29/2020,90.45,193.47,198.44,125.25,,,,,
6/30/2020,91.20,197.62,203.51,126.50,,,,,
7/1/2020,91.03,197.57,204.70,126.06,,,,,
7/2/2020,91.03,197.40,206.26,127.72,,,,,
7/6/2020,93.46,207.36,210.70,129.43,,,,,
7/7/2020,93.17,199.36,208.25,127.20,,,,,
7/8/2020,95.34,202.25,212.83,128.13,,,,,
7/9/2020,95.68,196.83,214.32,125.73,,,,,
7/10/2020,95.92,205.56,213.67,128.01,,,,,
7/13/2020,95.48,208.88,207.07,130.57,,,,,
7/14/2020,97.06,214.01,208.35,136.88,,,,,
7/15/2020,97.73,216.90,208.04,138.36,,,,,
7/16/2020,96.52,214.67,203.92,138.56,,,,,
7/17/2020,96.33,211.41,202.88,136.90,,,,,
7/20/2020,98.36,211.71,211.60,134.63,,,,,
7/21/2020,97.00,212.02,208.75,135.87,,,,,
7/22/2020,97.27,206.00,211.75,136.98,,,,,
7/23/2020,92.85,203.02,202.54,136.60,,,,,
7/24/2020,92.62,201.47,201.30,137.58,,,,,
7/27/2020,94.81,203.02,203.85,139.89,,,,,
7/28/2020,93.25,201.62,202.02,138.03,,,,,
7/29/2020,95.04,202.58,204.06,140.53,,,,,
7/30/2020,96.19,199.53,203.90,136.73,,,,,
7/31/2020,106.26,197.96,205.01,132.88,,,,,
8/3/2020,108.94,199.39,216.54,131.78,,,,,
8/4/2020,109.67,201.64,213.29,131.52,,,,,
8/5/2020,110.06,204.52,212.94,134.97,,,,,
8/6/2020,113.90,204.25,216.35,134.39,,,,,
8/7/2020,111.11,208.27,212.48,134.92,,,,,
8/10/2020,112.73,209.38,208.25,142.02,,,,,
8/11/2020,109.38,211.06,203.38,142.53,,,,,
8/12/2020,113.01,212.13,209.19,142.57,,,,,
8/13/2020,115.01,208.39,208.70,140.67,,,,,
8/14/2020,114.91,207.97,208.90,139.96,,,,,
8/17/2020,114.61,203.07,210.28,138.72,,,,,
8/18/2020,115.56,201.31,211.49,138.37,,,,,
8/19/2020,115.71,203.02,209.70,138.02,,,,,
8/20/2020,118.28,201.85,214.58,137.48,,,,,
8/21/2020,124.37,202.43,213.02,138.43,,,,,
8/24/2020,125.86,207.34,213.69,141.68,,,,,
8/25/2020,124.83,206.00,216.47,141.15,,,,,
8/26/2020,126.52,207.22,221.15,141.83,,,,,
8/27/2020,125.01,210.15,226.58,143.37,,,,,
8/28/2020,124.81,207.71,228.91,143.63,,,,,
8/31/2020,129.04,204.87,225.53,142.31,,,,,
9/1/2020,134.18,205.46,227.27,146.05,,,,,
